Player,Captain,Type,Team,Base,Owner,Price,Sale,Sold,Set,Overseas,Country,Batting,Bowling,Test Caps,ODI Caps,T20I Caps,IPL,2024 Team,2024 IPL,Cap/Un
Ryan Rickelton,,WK,MI,1,,,Unsold,1,4,Y,South Africa,LHB,,7,5,8,,,,Capped
Sachin Baby,,BAT,SRH,0.3,,,Unsold,0.3,8,,India,LHB,Right Arm Off Spin,,,,19,,,Uncapped
Sai Kishore,,AR,GT,0.75,,,Unsold,2,5,,India,LHB,Left Arm Slow Unorthodox,,,3,10,GT,5,Capped
Sai Sudharsan,,AR,GT,3,,,Unsold,8.5,Marquee,,,,,,,,,,,Capped
Sam Curran,,AR,CSK,2,Royal Smashers,2,Sold,2.4,1,Y,England,LHB,Left Arm Fast Medium,24,33,53,59,PBKS,13,Capped
Sameer Rizvi,,AR,DC,0.3,Silly Pointers,0.3,Sold,0.95,8,,India,RHB,Right Arm Leg Spin,,,,9,CSK,9,Uncapped
Sandeep Sharma,,BOWL,RR,3,,,Unsold,4,Marquee,,,,,,,,,,,Capped
Sanju Samson,Captain,BAT,RR,3,Sher-E-Punjab,4.9,Sold,18,Marquee,,,,,,,,,,,Capped
Satyanarayana Raju,,BOWL,MI,0.3,,,Unsold,0.3,8,,India,RHB,Right Arm Fast Medium,,,,,,,Uncapped
Shahbaz Ahmed,,AR,LSG,1,,,Unsold,2.4,4,,India,LHB,Left Arm Slow Orthodox,,3,2,55,SRH,16,Capped
Shaik Rasheed,,BAT,CSK,0.3,,,Unsold,0.3,8,,India,RHB,Right Arm Leg Spin,,,,0,CSK,0,Uncapped
Shamar Joseph,,BOWL,LSG,0.75,,,Unsold,0.75,5,Y,West Indies,LHB,Right Arm Fast,6,,8,1,LSG,1,Capped
Shashank Singh,,AR,PK,3,,,Unsold,5.5,Marquee,,,,,,,,,,,Uncapped
Sherfane Rutherford,,BAT,GT,1.5,,,Unsold,2.6,2,Y,West Indies,LHB,Right Arm Fast Medium,,8,24,10,KKR,0,Capped
Shimron Hetmyer,,BAT,RR,3,,,Unsold,11,Marquee,Y,,,,,,,,,,Capped
Shivam Dube,,AR,CSK,3,Silly Pointers,4,Sold,12,Marquee,,,,,,,,,,,Capped
Shreyas Gopal,,BOWL,CSK,0.3,,,Unsold,0.3,8,,India,RHB,Right Arm Leg Spin,,,,52,MI,3,Uncapped
Shreyas Iyer,Captain,BAT,PK,2,Silly Pointers,28,Sold,26.75,1,,India,RHB,Right Arm Off Spin,14,62,51,116,KKR,15,Capped
Shubham Dubey,,BAT,RR,0.3,,,Unsold,0.8,8,,India,LHB,Right Arm Off Spin,,,,4,RR,0,Uncapped
Shubman Gill,Captain,BAT,GT,3,Silly Pointers,15,Sold,16.5,Marquee,,,,,,,,,,,Capped
Simarjeet Singh,,BOWL,SRH,0.3,Silly Pointers,0.3,Sold,1.5,8,,India,RHB,Right Arm Fast,,,,10,CSK,4,Uncapped
Spencer Johnson,,BOWL,KKR,2,Royal Smashers,2,Sold,2.8,1,Y,Australia,LHB,Left Arm Fast,,1,5,5,GT,5,Capped
Sunil Narine,,BOWL,KKR,3,,,Unsold,12,Marquee,Y,,,,,,,,,,Uncapped
Suryakumar Yadav,,BAT,MI,3,Kingsmen,18,Sold,16.35,Marquee,,,,,,,,,,,Capped
Suryansh Shedge,,AR,PK,0.3,,,Unsold,0.3,8,,India,RHB,Right Arm Fast Medium,,,,,,,Uncapped
Suyash Sharma,,BOWL,RCB,0.3,,,Unsold,2.6,8,,India,RHB,Right Arm Leg Spin,,,,13,KKR,2,Uncapped
Swapnil Singh,,AR,RCB,0.3,,,Unsold,0.5,8,,India,RHB,Left Arm Slow Orthodox,,,,14,PBKS,7,Uncapped
Swastik Chikara,,BAT,RCB,0.3,,,Unsold,0.3,8,,India,RHB,Right Arm Off Spin,,,,0,DC,0,Uncapped
T Natarajan,,BOWL,DC,2,Kingsmen,10.5,Sold,10.75,1,,India,LHB,Left Arm Fast Medium,1,2,4,61,SRH,14,Capped
Tilak Varma,,AR,MI,3,Silly Pointers,6,Sold,8,Marquee,,,,,,,,,,,Capped
Tim David,,AR,RCB,2,,,Unsold,3,1,Y,Australia,RHB,Right Arm Off Spin,,4,51,38,MI,13,Capped
Travis Head,,BAT,SRH,3,Silly Pointers,16.5,Sold,14,Marquee,Y,,,,,,,,,,Capped
Trent Boult,,BOWL,MI,2,Sher-E-Punjab,2.3,Sold,12.5,1,Y,New Zealand,RHB,Left Arm Fast Medium,78,114,61,104,RR,16,Capped
Tripurana Vijay,,AR,DC,0.3,,,Unsold,0.3,8,,India,RHB,Right Arm Off Spin,,,,,,,Uncapped
Tristan Stubbs,,BAT,DC,3,,,Unsold,10,Marquee,Y,,,,,,,,,,Capped
Tushar Deshpande,,BOWL,RR,1,,,Unsold,6.5,4,,India,LHB,Right Arm Fast,,,2,36,CSK,13,Capped
Umran Malik,,BOWL,KKR,0.75,,,Unsold,0.75,5,,India,RHB,Right Arm Fast,,10,8,26,SRH,1,Capped
Vaibhav Arora,,BOWL,KKR,0.3,,,Unsold,1.8,8,,India,RHB,Right Arm Fast Medium,,,,20,KKR,10,Uncapped
Vaibhav Suryavanshi,,BAT,RR,0.3,Silly Pointers,0.3,Sold,1.1,8,,India,LHB,Left Arm Slow Orthodox,,,,,,,Uncapped
Vansh Bedi,,WK,CSK,0.3,,,Unsold,0.55,8,,India,RHB,,,,,,,,Uncapped
Varun Chakravarthy,,AR,KKR,3,Silly Pointers,5,Sold,12,Marquee,,,,,,,,,,,Capped
Venkatesh Iyer,,AR,KKR,2,Sher-E-Punjab,15.5,Sold,23.75,1,,India,LHB,Right Arm Medium,,2,9,51,KKR,15,Capped
Vignesh Puthur,,AR,MI,0.3,,,Unsold,0.3,8,,India,RHB,Left Arm Slow Unorthodox,,,,,,,Uncapped
Vijay Shankar,,AR,CSK,0.3,Silly Pointers,0.8,Sold,1.2,8,,India,RHB,Right Arm Medium,,,,72,GT,7,Uncapped
Vijaykumar Vyshak,,BOWL,PK,0.3,Kingsmen,0.3,Sold,1.8,8,,India,RHB,Right Arm Fast Medium,,,,11,RCB,4,Uncapped
Vipraj Nigam,,AR,DC,0.3,,,Unsold,0.5,8,,India,RHB,Right Arm Leg Spin,,,,,,,Uncapped
Virat Kohli,,BAT,RCB,3,Sher-E-Punjab,23,Sold,21,Marquee,,,,,,,,,,,Capped
Vishnu Vinod,,WK,PK,0.3,,,Unsold,0.95,8,,India,RHB,,,,,6,MI,0,Uncapped
Wanindu Hasaranga,,BOWL,RR,2,,,Unsold,5.25,1,Y,Sri Lanka,RHB,Right Arm Leg Spin,4,58,74,26,SRH,0,Capped
Washington Sundar,,AR,GT,2,Royal Smashers,5.6,Sold,3.2,1,,India,LHB,Right Arm Off Spin,6,22,52,61,SRH,2,Capped
Will Jacks,,AR,MI,2,Kingsmen,2.6,Sold,5.25,1,Y,England,RHB,Right Arm Off Spin,2,13,18,8,RCB,8,Capped
Xavier Bartlett,,BOWL,PK,0.75,,,Unsold,0.8,5,Y,Australia,RHB,Right Arm Fast Medium,,2,4,,,,Capped
Yash Dayal,,BOWL,RCB,3,,,Unsold,5,Marquee,,,,,,,,,,,Uncapped
Yash Thakur,,BOWL,PK,0.4,,,Unsold,1.6,7,,India,RHB,Right Arm Fast Medium,,,,19,LSG,10,Uncapped
Yashasvi Jaiswal,,AR,RR,3,Royal Smashers,8.8,Sold,18,Marquee,,,,,,,,,,,Capped
Yudhvir Singh,,AR,RR,0.3,,,Unsold,0.35,8,,India,RHB,Right Arm Fast Medium,,,,5,LSG,2,Uncapped
Yuvraj Chaudhary,,AR,LSG,0.3,,,Unsold,0.3,8,,India,LHB,Left Arm Slow Orthodox,,,,,,,Uncapped
Yuzvendra Chahal,,BOWL,PK,2,Kingsmen,18.5,Sold,18,1,,India,RHB,Right Arm Leg Spin,,72,80,160,RR,15,Capped
Zeeshan Ansari,,BOWL,SRH,0.3,,,Unsold,0.4,8,,India,RHB,Right Arm Leg Spin,,,,,,,Uncapped
